config                  mean  median    worst   rank   win%  >sharp   rfq/ct   fok/ct  rfq ct  bankrupt
---------------------------------------------------------------------------------------------------------
current                  5.9     6.6    -19.4   2.47    28%     42%   0.0069   0.0508     525     0/36  
tighter 0.012            6.5     7.9    -19.3   2.36    33%     47%   0.0071   0.0508     597     0/36  
tighter 0.008            5.8     6.3    -20.5   2.36    36%     50%   0.0058   0.0508     627     0/36  
unc x1.1                 5.6     4.5    -20.1   2.44    28%     39%   0.0066   0.0508     533     0/36  
tight + unc x1.1         6.4     4.4    -19.5   2.31    36%     53%   0.0070   0.0508     611     0/36  
bigger size 40           6.3     7.0    -22.5   2.42    33%     44%   0.0073   0.0508     527     0/36  
more risk                5.9     6.6    -19.3   2.44    31%     42%   0.0069   0.0508     525     0/36  
aggressive               6.5     5.0    -21.9   2.31    36%     50%   0.0074   0.0508     626     0/36  
very aggressive          4.6     4.4    -23.8   2.42    36%     50%   0.0055   0.0508     671     0/36  
aggressive + fok         6.6     5.4    -23.3   2.36    33%     50%   0.0074   0.0474     625     0/36  
