config                  mean  median    worst   rank   win%  >sharp   rfq/ct   fok/ct  rfq ct  bankrupt
---------------------------------------------------------------------------------------------------------
current                  5.5     5.1    -22.7   2.36    17%     58%   0.0065   0.0481     528     0/36  
tight rfq                5.7     5.4    -23.0   2.39    17%     61%   0.0067   0.0481     600     0/36  
fok unc x0.7             5.5     5.1    -22.7   2.36    17%     58%   0.0065   0.0481     528     0/36  
fok unc x0.4             5.7     5.4    -24.2   2.36    17%     58%   0.0064   0.0462     527     0/36  
fok unc x0.0             6.2     7.0    -27.0   2.28    22%     61%   0.0064   0.0405     527     0/36  
tight + fok0.7           5.7     5.4    -23.0   2.39    17%     61%   0.0067   0.0481     600     0/36  
tight + fok0.4           5.9     5.4    -23.3   2.39    14%     61%   0.0067   0.0462     599     0/36  
tight + fok0.4 + risk     5.9     5.4    -23.3   2.39    14%     61%   0.0067   0.0462     599     0/36  
tight + fok0.4 + pos     5.8     6.0    -36.8   2.31    22%     67%   0.0071   0.0462     614     0/36  
all in                   6.2     6.6    -36.6   2.31    25%     67%   0.0071   0.0432     615     0/36  
