config                      mean    easy  medium    hard    worst   d(base)     se      t  bankrupt
-----------------------------------------------------------------------------------------------------
baseline                    -2.4     8.1    -4.6   -10.5   -105.3      0.00   0.00   0.00     0/72  
wide 0.035                  -0.2    11.3    -3.3    -8.6    -94.6      2.16   1.01   2.14     0/72  
wide 0.050                  -0.9    11.4    -5.8    -8.2    -87.5      1.47   1.30   1.13     0/72  
small size 10               -0.7     8.8    -3.0    -7.8    -87.9      1.69   0.61   2.78     0/72  
small size 6                -0.3     6.6    -2.0    -5.4    -62.5      2.08   1.48   1.40     0/72  
wide + small                 1.3    10.6    -1.1    -5.6    -68.1      3.66   1.37   2.68     0/72  
wide + tiny                  0.9     8.7    -2.0    -3.9    -46.7      3.28   2.19   1.50     0/72  
fok heavy                   -1.8     8.5    -3.9    -9.8   -105.1      0.60   0.32   1.84     0/72  
wide + fok heavy             1.9    11.3    -0.6    -5.0    -67.8      4.27   1.42   3.01     0/72  
wide + fok heavy 2           1.5     9.4    -1.5    -3.4    -46.6      3.88   2.25   1.73     0/72  
wide + fok + skew            3.0    12.8    -0.4    -3.3    -63.5      5.39   1.73   3.12     0/72  
wide + fok + tight unc       2.2    11.6     0.2    -5.3    -74.4      4.53   1.27   3.57     0/72  
